Ticket	ToteWt	Station	TimeFill
1	2996.000000	1	1/25/2018 03:16 PM
2	3009.000000	2	1/25/2018 03:19 PM
3	2989.000000	1	1/25/2018 03:22 PM
4	3001.000000	2	1/25/2018 03:32 PM
5	3010.000000	2	2/14/2018 11:59 AM
6	3016.000000	1	2/14/2018 12:16 PM
7	-15.000000	1	2/20/2018 09:17 AM
8	2934.000000	2	2/20/2018 10:29 AM
9	2898.000000	1	2/20/2018 10:41 AM
10	2900.000000	1	2/20/2018 11:02 AM
11	2998.000000	2	2/27/2018 03:28 PM
12	2917.000000	1	2/27/2018 03:33 PM
13	2923.000000	2	2/27/2018 03:37 PM
14	2879.000000	2	3/23/2018 01:48 PM
15	2894.000000	1	3/23/2018 01:55 PM
16	2904.000000	1	3/23/2018 02:04 PM
17	2903.000000	2	3/23/2018 02:12 PM
18	2884.000000	1	3/23/2018 02:24 PM
19	2918.000000	2	3/23/2018 02:28 PM
2	2853.000000	1	4/3/2018 03:27 PM
3	2996.000000	2	4/3/2018 03:32 PM
4	2899.000000	1	4/3/2018 03:45 PM
5	2985.000000	2	4/4/2018 08:31 AM
6	2973.000000	1	4/4/2018 08:41 AM
7	2995.000000	2	4/4/2018 08:49 AM
8	2972.000000	1	4/4/2018 08:57 AM
9	2961.000000	2	4/4/2018 09:04 AM
10	2978.000000	1	4/4/2018 09:17 AM
11	2934.000000	2	4/4/2018 09:23 AM
12	2941.000000	1	4/4/2018 09:27 AM
13	2906.000000	2	4/4/2018 09:34 AM
14	2935.000000	1	4/4/2018 10:00 AM
15	2894.000000	2	4/4/2018 10:09 AM
16	2881.000000	1	4/4/2018 10:20 AM
17	2883.000000	2	4/4/2018 10:25 AM
18	2953.000000	1	4/4/2018 10:33 AM
19	2881.000000	1	4/4/2018 11:10 AM
20	2953.000000	2	4/4/2018 11:14 AM
21	2923.000000	1	4/6/2018 09:29 AM
22	2931.000000	2	4/6/2018 09:34 AM
23	2922.000000	1	4/6/2018 09:41 AM
24	3009.000000	2	4/6/2018 09:49 AM
25	2942.000000	1	4/6/2018 09:56 AM
26	2927.000000	2	4/6/2018 10:02 AM
27	2957.000000	2	4/6/2018 01:12 PM
28	2946.000000	1	4/6/2018 01:18 PM
29	2894.000000	2	4/6/2018 01:42 PM
30	2958.000000	1	4/6/2018 01:52 PM
31	2997.000000	2	4/6/2018 01:59 PM
32	2974.000000	1	4/6/2018 02:05 PM
33	2913.000000	2	4/6/2018 02:28 PM
34	2896.000000	1	4/6/2018 02:44 PM
35	2948.000000	1	4/6/2018 02:56 PM
36	2898.000000	2	4/6/2018 03:00 PM
37	2938.000000	1	4/6/2018 03:11 PM
38	2895.000000	2	4/6/2018 03:21 PM
39	2881.000000	1	4/6/2018 03:25 PM
40	2881.000000	2	4/6/2018 03:30 PM
41	286.000000	1	4/6/2018 03:39 PM
42	2881.000000	2	4/6/2018 03:43 PM
43	2970.000000	1	4/6/2018 03:53 PM
44	2993.000000	2	4/6/2018 03:58 PM
45	2919.000000	1	4/6/2018 04:03 PM
46	-2.000000	2	4/12/2018 02:42 PM
47	2943.000000	1	4/12/2018 02:47 PM
48	2971.000000	2	4/12/2018 03:00 PM
49	2887.000000	1	4/12/2018 03:32 PM
50	2883.000000	2	4/12/2018 03:45 PM
51	2950.000000	1	4/13/2018 06:47 AM
52	2971.000000	2	4/13/2018 07:09 AM
53	2917.000000	1	4/13/2018 07:36 AM
54	2921.000000	2	4/13/2018 07:51 AM
55	2965.000000	1	4/13/2018 08:03 AM
56	2882.000000	2	4/13/2018 08:21 AM
57	2998.000000	1	4/13/2018 08:30 AM
58	2986.000000	2	4/13/2018 08:43 AM
59	2941.000000	1	4/13/2018 08:47 AM
60	2970.000000	2	4/13/2018 08:54 AM
61	2968.000000	1	4/13/2018 09:01 AM
62	2887.000000	1	4/13/2018 10:08 AM
63	3125.000000	2	4/13/2018 10:29 AM
64	3031.000000	1	4/13/2018 12:49 PM
65	2999.000000	2	5/4/2018 05:52 AM
66	2980.000000	1	5/4/2018 05:57 AM
67	2980.000000	2	5/4/2018 06:02 AM
68	2984.000000	1	5/4/2018 06:05 AM
69	2987.000000	2	5/4/2018 06:10 AM
70	2981.000000	1	5/4/2018 06:17 AM
71	2995.000000	2	5/4/2018 06:29 AM
72	2992.000000	1	5/4/2018 06:37 AM
73	3012.000000	2	5/4/2018 06:45 AM
74	3016.000000	1	5/4/2018 06:49 AM
75	2983.000000	2	5/4/2018 06:52 AM
76	2994.000000	1	5/4/2018 06:57 AM
77	3003.000000	2	5/4/2018 07:02 AM
78	2983.000000	1	5/4/2018 07:10 AM
79	2991.000000	2	5/4/2018 07:20 AM
80	3000.000000	2	5/16/2018 12:44 PM
81	2938.000000	1	5/16/2018 01:00 PM
82	3009.000000	2	5/16/2018 01:16 PM
83	2986.000000	1	5/16/2018 01:24 PM
84	3008.000000	2	5/16/2018 01:33 PM
85	2990.000000	1	5/16/2018 01:43 PM
86	3001.000000	2	5/16/2018 01:57 PM
87	3035.000000	1	5/16/2018 02:06 PM
88	2993.000000	2	5/16/2018 02:28 PM
89	3029.000000	1	5/16/2018 02:38 PM
90	2991.000000	2	5/16/2018 02:45 PM
91	2995.000000	1	5/16/2018 02:52 PM
92	2612.000000	2	5/18/2018 06:19 AM
93	2608.000000	1	5/18/2018 06:23 AM
